store_id,sku_id,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,reorder_point,safety_stock,recommended_order_qty
ST001,SKU0001,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0002,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0003,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0004,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0005,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0006,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0007,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0008,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0009,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0010,0.0,0.0,7.0,0.95,0.0,0.0,0.0
ST001,SKU0011,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0012,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0013,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0014,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0015,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0016,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0017,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0018,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0019,0.0,0.0,4.0,0.97,0.0,0.0,0.0
ST001,SKU0020,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0021,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0022,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0023,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0024,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0025,0.0,0.0,5.0,0.96,0.0,0.0,0.0
ST001,SKU0026,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0027,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0028,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0029,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0030,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0031,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0032,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0033,0.0,0.0,4.0,0.97,0.0,0.0,0.0
ST001,SKU0034,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0035,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0036,0.0,0.0,2.0,0.97,0.0,0.0,0.0
ST001,SKU0037,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0038,0.0,0.0,4.0,0.97,0.0,0.0,0.0
ST001,SKU0039,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0040,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0041,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0042,0.0,0.0,4.0,0.96,0.0,0.0,0.0
ST001,SKU0043,0.0,0.0,4.0,0.95,0.0,0.0,0.0
ST001,SKU0044,0.0,0.0,4.0,0.97,0.0,0.0,0.0
ST001,SKU0045,0.0,0.0,4.0,0.96,0.0,0.0,0.0
